,code_player,dreamteam_count,form,in_dreamteam,now_cost,photo,points_per_game,selected_by_percent,status,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,full_name,id_player,club_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,singular_name,squad_select,squad_min_play,squad_max_play,event_next_first,team,team_h_difficulty_next_first,team_a_difficulty_next_first,h_a_next_first,next_1,event_next_second,team_h_difficulty_next_second,team_a_difficulty_next_second,h_a_next_second,next_2,event_third,team_h_difficulty_third,team_a_difficulty_third,h_a_third,next_3,points_by_diff
84,432160,0,1.2,False,5.0,432160,1.2,0.0,d,6,1433,70,2884,139,0.2,1.2,Baptiste,188,0,0,2,0,0,0,0,0,1,0,0,9,11.2,7.5,26.0,4.1,339,145,303,157,222,117,334,151,Shandon Baptiste,3,Brentford,3,1080,1100,1090,1130,1100,1150,Midfielder,5,2,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.3
85,216646,0,3.5,False,5.9,216646,4.0,0.1,a,16,4672,2345,4852,371,0.6,2.7,Wissa,57,2,0,0,0,0,0,0,0,0,0,2,48,67.4,0.9,72.0,14.0,202,74,349,176,106,57,217,101,Yoane Wissa,3,Brentford,3,1080,1100,1090,1130,1100,1150,Midfielder,5,2,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,1.0
86,144485,1,5.2,False,6.3,144485,4.4,15.0,a,31,677864,51099,1681027,37294,0.8,4.9,Toney,630,2,2,3,6,0,0,0,1,0,0,4,119,142.0,152.4,189.0,48.4,61,7,34,5,38,16,25,8,Ivan Toney,3,Brentford,3,1080,1100,1090,1130,1100,1150,Forward,3,1,3,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,1.1
87,216620,0,0.0,False,5.3,216620,1.0,0.1,a,1,9446,362,16421,425,0.0,0.2,Forss,4,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.3,0.0,0.1,585,75,344,50,576,72,407,55,Marcus Forss,3,Brentford,3,1080,1100,1090,1130,1100,1150,Forward,3,1,3,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.25
88,434662,0,0.0,False,5.4,434662,0.0,0.0,u,0,1259,0,4022,41,0.0,0.0,Dervişoğlu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,594,80,590,79,585,78,594,80,Halil Dervişoğlu,3,Brentford,3,1080,1100,1090,1130,1100,1150,Forward,3,1,3,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.0
89,61810,0,4.0,False,4.6,61810,5.4,8.5,a,38,790697,35010,239532,10088,0.9,8.3,Jansson,621,0,3,3,6,0,0,0,1,0,0,5,146,109.6,24.4,32.0,16.8,104,41,233,65,204,55,181,57,Pontus Jansson,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,1.35
90,194010,0,2.5,False,4.5,194010,3.4,1.1,a,24,95892,3482,71970,2078,0.6,5.3,Henry,614,0,0,3,6,0,0,0,1,0,0,0,91,83.4,84.2,11.0,17.9,160,65,93,22,271,82,172,53,Rico Henry,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.85
91,213687,0,0.0,False,3.9,213687,0.0,2.1,a,0,139770,3915,93754,4881,0.0,0.0,Goode,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,404,142,387,144,343,121,410,144,Charlie Goode,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.0
92,226956,0,0.5,False,4.3,226956,1.0,0.1,a,2,1133,65,4763,107,0.1,0.5,Roerslev,44,0,0,0,1,0,0,0,0,0,0,0,10,11.4,0.5,0.0,1.2,335,128,361,127,408,162,375,133,Mads Roerslev Rasmussen,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.25
93,228044,0,0.0,False,4.4,228044,1.0,0.0,i,1,734,16,7207,89,0.0,0.2,Sørensen,19,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,477,182,464,183,435,175,482,183,Mads Bech Sørensen,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.25
94,231065,1,4.8,False,4.6,231065,5.4,6.3,a,38,560045,30701,247295,7754,1.0,8.3,Pinnock,582,1,1,3,4,0,0,0,0,0,0,4,142,167.0,24.3,62.0,25.3,30,7,234,66,121,23,110,28,Ethan Pinnock,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,1.35
95,191866,0,2.2,False,4.5,191866,3.8,1.2,d,23,84106,1287,46210,5434,0.5,5.1,Ajer,520,0,0,3,5,0,0,0,1,0,0,1,98,81.8,21.0,28.0,13.1,163,67,242,72,215,60,226,74,Kristoffer Ajer,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.95
96,232247,0,0.0,False,4.4,232247,0.0,0.0,a,0,1138,89,2727,91,0.0,0.0,Thompson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,478,183,465,184,436,176,483,184,Dominic Thompson,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.0
97,450550,0,0.0,False,4.0,450550,0.0,0.3,a,0,24179,561,11383,771,0.0,0.0,Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,440,158,426,160,386,141,446,160,Finley Stevens,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.0
98,48760,0,0.5,False,4.5,48760,0.7,0.0,a,2,599,100,321,56,0.1,0.4,Zanka,145,0,0,0,3,0,0,0,1,0,0,0,11,17.6,1.1,0.0,1.8,316,123,346,117,447,180,366,128,Mathias Jorgensen,3,Brentford,3,1080,1100,1090,1130,1100,1150,Defender,5,3,5,8,Brentford,4.0,2,h,Chelsea,9,3,2,h,Leicester,10,2,2,a,Burnley,0.175
99,49262,0,0.0,False,4.0,49262,0.0,3.2,a,0,162825,1040,102753,10260,0.0,0.0,Steele,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,415,33,400,13,358,9,421,33,Jason Steele,4,Brighton,3,1140,1180,1140,1180,1090,1130,Goalkeeper,2,1,1,8,Brighton,3.0,2,a,Norwich,9,4,3,h,Man City,10,3,5,a,Liverpool,0.0
